"","site.code","session","site.accession","subplot","rep","tree.count","value","species","measure"
"33","DAVO","4","DAVO004","3","DAVO004-3",22,0,"BFF","N"
"34","DAVO","4","DAVO004","4","DAVO004-4",10,0,"BFF","N"
"35","DAVO","4","DAVO004","5","DAVO004-5",37,0,"BFF","N"
"36","DAVO","4","DAVO004","6","DAVO004-6",16,0,"BFF","N"
"37","DAVO","4","DAVO004","7","DAVO004-7",20,0,"BFF","N"
"38","DAVO","4","DAVO004","8","DAVO004-8",15,0,"BFF","N"
"39","DAVO","4","DAVO004","9","DAVO004-9",17,0,"BFF","N"
"40","DAVO","4","DAVO004","10","DAVO004-10",75,0,"BFF","N"
"41","DAVO","5","DAVO005","1","DAVO005-1",43,0,"BFF","N"
"42","DAVO","5","DAVO005","2","DAVO005-2",13,0,"BFF","N"
"43","DAVO","5","DAVO005","3","DAVO005-3",22,0,"BFF","N"
"44","DAVO","5","DAVO005","4","DAVO005-4",10,0,"BFF","N"
"45","DAVO","5","DAVO005","5","DAVO005-5",37,0,"BFF","N"
"46","DAVO","5","DAVO005","6","DAVO005-6",16,0,"BFF","N"
"47","DAVO","5","DAVO005","7","DAVO005-7",20,0,"BFF","N"
"48","DAVO","5","DAVO005","8","DAVO005-8",15,0,"BFF","N"
"49","DAVO","5","DAVO005","9","DAVO005-9",17,0,"BFF","N"
"50","DAVO","5","DAVO005","10","DAVO005-10",75,0,"BFF","N"
"51","DAVO","6","DAVO006","1","DAVO006-1",43,0,"BFF","N"
"52","DAVO","6","DAVO006","2","DAVO006-2",13,0,"BFF","N"
"53","DAVO","6","DAVO006","3","DAVO006-3",22,0,"BFF","N"
"54","DAVO","6","DAVO006","4","DAVO006-4",10,0,"BFF","N"
"55","DAVO","6","DAVO006","5","DAVO006-5",37,0,"BFF","N"
"56","DAVO","6","DAVO006","6","DAVO006-6",16,0,"BFF","N"
"57","DAVO","6","DAVO006","7","DAVO006-7",20,0,"BFF","N"
"58","DAVO","6","DAVO006","8","DAVO006-8",15,0,"BFF","N"
"59","DAVO","6","DAVO006","9","DAVO006-9",17,0,"BFF","N"
"60","DAVO","6","DAVO006","10","DAVO006-10",75,0,"BFF","N"
"61","DAVO","7","DAVO007","1","DAVO007-1",43,147.5,"BFF","N"
"62","DAVO","7","DAVO007","2","DAVO007-2",13,0,"BFF","N"
"63","DAVO","7","DAVO007","3","DAVO007-3",22,0,"BFF","N"
"64","DAVO","7","DAVO007","4","DAVO007-4",10,0,"BFF","N"
"65","DAVO","7","DAVO007","5","DAVO007-5",37,0,"BFF","N"
"66","DAVO","7","DAVO007","6","DAVO007-6",16,0,"BFF","N"
"67","DAVO","7","DAVO007","7","DAVO007-7",20,0,"BFF","N"
"68","DAVO","7","DAVO007","8","DAVO007-8",15,0,"BFF","N"
"69","DAVO","7","DAVO007","9","DAVO007-9",17,0,"BFF","N"
"70","DAVO","7","DAVO007","10","DAVO007-10",75,0,"BFF","N"
"71","DAVO","8","DAVO008","1","DAVO008-1",43,290.5,"BFF","N"
"72","DAVO","8","DAVO008","2","DAVO008-2",13,0,"BFF","N"
"73","DAVO","8","DAVO008","3","DAVO008-3",22,0,"BFF","N"
"74","DAVO","8","DAVO008","4","DAVO008-4",10,0,"BFF","N"
"75","DAVO","8","DAVO008","5","DAVO008-5",37,0,"BFF","N"
"76","DAVO","8","DAVO008","6","DAVO008-6",16,0,"BFF","N"
"77","DAVO","8","DAVO008","7","DAVO008-7",20,0,"BFF","N"
"78","DAVO","8","DAVO008","8","DAVO008-8",15,0,"BFF","N"
"79","DAVO","8","DAVO008","9","DAVO008-9",17,0,"BFF","N"
"80","DAVO","8","DAVO008","10","DAVO008-10",75,0,"BFF","N"
"81","DAVO","9","DAVO009","1","DAVO009-1",43,160,"BFF","N"
"82","DAVO","9","DAVO009","2","DAVO009-2",13,0,"BFF","N"
"83","DAVO","9","DAVO009","3","DAVO009-3",22,0,"BFF","N"
"84","DAVO","9","DAVO009","4","DAVO009-4",10,0,"BFF","N"
"85","DAVO","9","DAVO009","5","DAVO009-5",37,0,"BFF","N"
"86","DAVO","9","DAVO009","6","DAVO009-6",16,0,"BFF","N"
"87","DAVO","9","DAVO009","7","DAVO009-7",20,0,"BFF","N"
"88","DAVO","9","DAVO009","8","DAVO009-8",15,0,"BFF","N"
"89","DAVO","9","DAVO009","9","DAVO009-9",17,0,"BFF","N"
"90","DAVO","9","DAVO009","10","DAVO009-10",75,0,"BFF","N"
"91","DAVO","10","DAVO010","1","DAVO010-1",43,440,"BFF","N"
"92","DAVO","10","DAVO010","2","DAVO010-2",13,0,"BFF","N"
"93","DAVO","10","DAVO010","3","DAVO010-3",22,0,"BFF","N"
"94","DAVO","10","DAVO010","4","DAVO010-4",10,0,"BFF","N"
"95","DAVO","10","DAVO010","5","DAVO010-5",37,0,"BFF","N"
"96","DAVO","10","DAVO010","6","DAVO010-6",16,0,"BFF","N"
"97","DAVO","10","DAVO010","7","DAVO010-7",20,0,"BFF","N"
"98","DAVO","10","DAVO010","8","DAVO010-8",15,0,"BFF","N"
"99","DAVO","10","DAVO010","9","DAVO010-9",17,0,"BFF","N"
"100","DAVO","10","DAVO010","10","DAVO010-10",75,0,"BFF","N"
"101","DAVO","11","DAVO011","1","DAVO011-1",43,183,"BFF","N"
"102","DAVO","11","DAVO011","2","DAVO011-2",13,0,"BFF","N"
"103","DAVO","11","DAVO011","3","DAVO011-3",22,0,"BFF","N"
"104","DAVO","11","DAVO011","4","DAVO011-4",10,0,"BFF","N"
"105","DAVO","11","DAVO011","5","DAVO011-5",37,0,"BFF","N"
"106","DAVO","11","DAVO011","6","DAVO011-6",16,0,"BFF","N"
"107","DAVO","11","DAVO011","7","DAVO011-7",20,0,"BFF","N"
"108","DAVO","11","DAVO011","8","DAVO011-8",15,0,"BFF","N"
"109","DAVO","11","DAVO011","9","DAVO011-9",17,0,"BFF","N"
"110","DAVO","11","DAVO011","10","DAVO011-10",75,0,"BFF","N"
"111","DAVO","12","DAVO012","1","DAVO012-1",43,98.5,"BFF","N"
"112","DAVO","12","DAVO012","2","DAVO012-2",13,0,"BFF","N"
"113","DAVO","12","DAVO012","3","DAVO012-3",22,0,"BFF","N"
"114","DAVO","12","DAVO012","4","DAVO012-4",10,0,"BFF","N"
"115","DAVO","12","DAVO012","5","DAVO012-5",37,0,"BFF","N"
"116","DAVO","12","DAVO012","6","DAVO012-6",16,0,"BFF","N"
"117","DAVO","12","DAVO012","7","DAVO012-7",20,0,"BFF","N"
"118","DAVO","12","DAVO012","8","DAVO012-8",15,0,"BFF","N"
"119","DAVO","12","DAVO012","9","DAVO012-9",17,0,"BFF","N"
"120","DAVO","12","DAVO012","10","DAVO012-10",75,0,"BFF","N"
"121","DAVO","13","DAVO013","1","DAVO013-1",43,100,"BFF","N"
"122","DAVO","13","DAVO013","2","DAVO013-2",13,0,"BFF","N"
"123","DAVO","13","DAVO013","3","DAVO013-3",22,0,"BFF","N"
"124","DAVO","13","DAVO013","4","DAVO013-4",10,0,"BFF","N"
"125","DAVO","13","DAVO013","5","DAVO013-5",37,0,"BFF","N"
"126","DAVO","13","DAVO013","6","DAVO013-6",16,0,"BFF","N"
"127","DAVO","13","DAVO013","7","DAVO013-7",20,0,"BFF","N"
"128","DAVO","13","DAVO013","8","DAVO013-8",15,0,"BFF","N"
"129","DAVO","13","DAVO013","9","DAVO013-9",17,0,"BFF","N"
"130","DAVO","13","DAVO013","10","DAVO013-10",75,0,"BFF","N"
"131","DBUR","1","DBUR001","1","DBUR001-1",58,0,"BFF","N"
"132","DBUR","1","DBUR001","2","DBUR001-2",54,0,"BFF","N"
"133","DBUR","1","DBUR001","3","DBUR001-3",11,0,"BFF","N"
"134","DBUR","1","DBUR001","4","DBUR001-4",37,0,"BFF","N"
"135","DBUR","1","DBUR001","5","DBUR001-5",34,0,"BFF","N"
"136","DBUR","1","DBUR001","6","DBUR001-6",30,0,"BFF","N"
"137","DBUR","1","DBUR001","7","DBUR001-7",32,0,"BFF","N"
"138","DBUR","1","DBUR001","8","DBUR001-8",28,0,"BFF","N"
"139","DBUR","1","DBUR001","9","DBUR001-9",24,0,"BFF","N"
"140","DBUR","1","DBUR001","10","DBUR001-10",19,0,"BFF","N"
"141","DBUR","2","DBUR002","1","DBUR002-1",58,0,"BFF","N"
"142","DBUR","2","DBUR002","2","DBUR002-2",54,0,"BFF","N"
"143","DBUR","2","DBUR002","3","DBUR002-3",11,8,"BFF","N"
"144","DBUR","2","DBUR002","4","DBUR002-4",37,3,"BFF","N"
"145","DBUR","2","DBUR002","5","DBUR002-5",34,12,"BFF","N"
"146","DBUR","2","DBUR002","6","DBUR002-6",30,76,"BFF","N"
"147","DBUR","2","DBUR002","7","DBUR002-7",32,85,"BFF","N"
"148","DBUR","2","DBUR002","8","DBUR002-8",28,40,"BFF","N"
"149","DBUR","2","DBUR002","9","DBUR002-9",24,112.5,"BFF","N"
"150","DBUR","2","DBUR002","10","DBUR002-10",19,0,"BFF","N"
"151","DBUR","3","DBUR003","1","DBUR003-1",58,0,"BFF","N"
"152","DBUR","3","DBUR003","2","DBUR003-2",54,0,"BFF","N"
"153","DBUR","3","DBUR003","3","DBUR003-3",11,0,"BFF","N"
"154","DBUR","3","DBUR003","4","DBUR003-4",37,0,"BFF","N"
"155","DBUR","3","DBUR003","5","DBUR003-5",34,0,"BFF","N"
"156","DBUR","3","DBUR003","6","DBUR003-6",30,78,"BFF","N"
"157","DBUR","3","DBUR003","7","DBUR003-7",32,101,"BFF","N"
"158","DBUR","3","DBUR003","8","DBUR003-8",28,156,"BFF","N"
"159","DBUR","3","DBUR003","9","DBUR003-9",24,21,"BFF","N"
"160","DBUR","3","DBUR003","10","DBUR003-10",19,0,"BFF","N"
"161","DBUR","4","DBUR004","1","DBUR004-1",58,0,"BFF","N"
"162","DBUR","4","DBUR004","2","DBUR004-2",54,0,"BFF","N"
"163","DBUR","4","DBUR004","3","DBUR004-3",11,0,"BFF","N"
"164","DBUR","4","DBUR004","4","DBUR004-4",37,0,"BFF","N"
"165","DBUR","4","DBUR004","5","DBUR004-5",34,0,"BFF","N"
"166","DBUR","4","DBUR004","6","DBUR004-6",30,210.5,"BFF","N"
"167","DBUR","4","DBUR004","7","DBUR004-7",32,184,"BFF","N"
"168","DBUR","4","DBUR004","8","DBUR004-8",28,151.5,"BFF","N"
"169","DBUR","4","DBUR004","9","DBUR004-9",24,0,"BFF","N"
"170","DBUR","4","DBUR004","10","DBUR004-10",19,0,"BFF","N"
"171","DBUR","5","DBUR005","1","DBUR005-1",58,0,"BFF","N"
"172","DBUR","5","DBUR005","2","DBUR005-2",54,0,"BFF","N"
"173","DBUR","5","DBUR005","3","DBUR005-3",11,0,"BFF","N"
"174","DBUR","5","DBUR005","4","DBUR005-4",37,0,"BFF","N"
"175","DBUR","5","DBUR005","5","DBUR005-5",34,0,"BFF","N"
"176","DBUR","5","DBUR005","6","DBUR005-6",30,90.5,"BFF","N"
"177","DBUR","5","DBUR005","7","DBUR005-7",32,91.5,"BFF","N"
"178","DBUR","5","DBUR005","8","DBUR005-8",28,0,"BFF","N"
"179","DBUR","5","DBUR005","9","DBUR005-9",24,0,"BFF","N"
"180","DBUR","5","DBUR005","10","DBUR005-10",19,0,"BFF","N"
"181","DBUR","6","DBUR006","1","DBUR006-1",58,0,"BFF","N"
"182","DBUR","6","DBUR006","2","DBUR006-2",54,0,"BFF","N"
"183","DBUR","6","DBUR006","3","DBUR006-3",11,0,"BFF","N"
"184","DBUR","6","DBUR006","4","DBUR006-4",37,0,"BFF","N"
"185","DBUR","6","DBUR006","5","DBUR006-5",34,0,"BFF","N"
"186","DBUR","6","DBUR006","6","DBUR006-6",30,154.5,"BFF","N"
"187","DBUR","6","DBUR006","7","DBUR006-7",32,165.5,"BFF","N"
"188","DBUR","6","DBUR006","8","DBUR006-8",28,0,"BFF","N"
"189","DBUR","6","DBUR006","9","DBUR006-9",24,0,"BFF","N"
"190","DBUR","6","DBUR006","10","DBUR006-10",19,0,"BFF","N"
"191","DBUR","7","DBUR007","1","DBUR007-1",58,0,"BFF","N"
"192","DBUR","7","DBUR007","2","DBUR007-2",54,0,"BFF","N"
"193","DBUR","7","DBUR007","3","DBUR007-3",11,0,"BFF","N"
"194","DBUR","7","DBUR007","4","DBUR007-4",37,0,"BFF","N"
"195","DBUR","7","DBUR007","5","DBUR007-5",34,0,"BFF","N"
"196","DBUR","7","DBUR007","6","DBUR007-6",30,59,"BFF","N"
"197","DBUR","7","DBUR007","7","DBUR007-7",32,35,"BFF","N"
"198","DBUR","7","DBUR007","8","DBUR007-8",28,33,"BFF","N"
"199","DBUR","7","DBUR007","9","DBUR007-9",24,9,"BFF","N"
"200","DBUR","7","DBUR007","10","DBUR007-10",19,0,"BFF","N"
"201","DBUR","8","DBUR008","1","DBUR008-1",58,0,"BFF","N"
"202","DBUR","8","DBUR008","2","DBUR008-2",54,0,"BFF","N"
"203","DBUR","8","DBUR008","3","DBUR008-3",11,0,"BFF","N"
"204","DBUR","8","DBUR008","4","DBUR008-4",37,0,"BFF","N"
"205","DBUR","8","DBUR008","5","DBUR008-5",34,0,"BFF","N"
"206","DBUR","8","DBUR008","6","DBUR008-6",30,0,"BFF","N"
"207","DBUR","8","DBUR008","7","DBUR008-7",32,0,"BFF","N"
"208","DBUR","8","DBUR008","8","DBUR008-8",28,0,"BFF","N"
"209","DBUR","8","DBUR008","9","DBUR008-9",24,0,"BFF","N"
"210","DBUR","8","DBUR008","10","DBUR008-10",19,0,"BFF","N"
"211","DBUR","9","DBUR009","1","DBUR009-1",58,0,"BFF","N"
"212","DBUR","9","DBUR009","2","DBUR009-2",54,0,"BFF","N"
"213","DBUR","9","DBUR009","3","DBUR009-3",11,0,"BFF","N"
"214","DBUR","9","DBUR009","4","DBUR009-4",37,0,"BFF","N"
"215","DBUR","9","DBUR009","5","DBUR009-5",34,0,"BFF","N"
"216","DBUR","9","DBUR009","6","DBUR009-6",30,0,"BFF","N"
"217","DBUR","9","DBUR009","7","DBUR009-7",32,0,"BFF","N"
"218","DBUR","9","DBUR009","8","DBUR009-8",28,0,"BFF","N"
"219","DBUR","9","DBUR009","9","DBUR009-9",24,0,"BFF","N"
"220","DBUR","9","DBUR009","10","DBUR009-10",19,0,"BFF","N"
"221","DBUR","10","DBUR010","1","DBUR010-1",58,0,"BFF","N"
"222","DBUR","10","DBUR010","2","DBUR010-2",54,0,"BFF","N"
"223","DBUR","10","DBUR010","3","DBUR010-3",11,0,"BFF","N"
"224","DBUR","10","DBUR010","4","DBUR010-4",37,0,"BFF","N"
"225","DBUR","10","DBUR010","5","DBUR010-5",34,0,"BFF","N"
"226","DBUR","10","DBUR010","6","DBUR010-6",30,82.5,"BFF","N"
"227","DBUR","10","DBUR010","7","DBUR010-7",32,154,"BFF","N"
"228","DBUR","10","DBUR010","8","DBUR010-8",28,253.5,"BFF","N"
"229","DBUR","10","DBUR010","9","DBUR010-9",24,0,"BFF","N"
"230","DBUR","10","DBUR010","10","DBUR010-10",19,0,"BFF","N"
"231","DBUR","11","DBUR011","1","DBUR011-1",58,0,"BFF","N"
"232","DBUR","11","DBUR011","2","DBUR011-2",54,119.5,"BFF","N"
"233","DBUR","11","DBUR011","3","DBUR011-3",11,0,"BFF","N"
"234","DBUR","11","DBUR011","4","DBUR011-4",37,0,"BFF","N"
"235","DBUR","11","DBUR011","5","DBUR011-5",34,0,"BFF","N"
"236","DBUR","11","DBUR011","6","DBUR011-6",30,0,"BFF","N"
"237","DBUR","11","DBUR011","7","DBUR011-7",32,0,"BFF","N"
"238","DBUR","11","DBUR011","8","DBUR011-8",28,0,"BFF","N"
"239","DBUR","11","DBUR011","9","DBUR011-9",24,0,"BFF","N"
"240","DBUR","11","DBUR011","10","DBUR011-10",19,0,"BFF","N"
"241","DBUR","12","DBUR012","1","DBUR012-1",58,0,"BFF","N"
"242","DBUR","12","DBUR012","2","DBUR012-2",54,102.5,"BFF","N"
"243","DBUR","12","DBUR012","3","DBUR012-3",11,0,"BFF","N"
"244","DBUR","12","DBUR012","4","DBUR012-4",37,0,"BFF","N"
"245","DBUR","12","DBUR012","5","DBUR012-5",34,0,"BFF","N"
"246","DBUR","12","DBUR012","6","DBUR012-6",30,130.5,"BFF","N"
"247","DBUR","12","DBUR012","7","DBUR012-7",32,196,"BFF","N"
"248","DBUR","12","DBUR012","8","DBUR012-8",28,0,"BFF","N"
"249","DBUR","12","DBUR012","9","DBUR012-9",24,0,"BFF","N"
"250","DBUR","12","DBUR012","10","DBUR012-10",19,0,"BFF","N"
"251","DBUR","13","DBUR013","1","DBUR013-1",58,0,"BFF","N"
"252","DBUR","13","DBUR013","2","DBUR013-2",54,0,"BFF","N"
"253","DBUR","13","DBUR013","3","DBUR013-3",11,0,"BFF","N"
"254","DBUR","13","DBUR013","4","DBUR013-4",37,0,"BFF","N"
"255","DBUR","13","DBUR013","5","DBUR013-5",34,97,"BFF","N"
"256","DBUR","13","DBUR013","6","DBUR013-6",30,155,"BFF","N"
"257","DBUR","13","DBUR013","7","DBUR013-7",32,131,"BFF","N"
"258","DBUR","13","DBUR013","8","DBUR013-8",28,113,"BFF","N"
"259","DBUR","13","DBUR013","9","DBUR013-9",24,0,"BFF","N"
"260","DBUR","13","DBUR013","10","DBUR013-10",19,0,"BFF","N"
"261","DCAN","1","DCAN001","1","DCAN001-1",42,0,"BFF","N"
"262","DCAN","1","DCAN001","2","DCAN001-2",71,0,"BFF","N"
"263","DCAN","1","DCAN001","3","DCAN001-3",70,0,"BFF","N"
"264","DCAN","1","DCAN001","4","DCAN001-4",48,0,"BFF","N"
"265","DCAN","1","DCAN001","5","DCAN001-5",50,0,"BFF","N"
"266","DCAN","1","DCAN001","6","DCAN001-6",54,0,"BFF","N"
"267","DCAN","1","DCAN001","7","DCAN001-7",26,0,"BFF","N"
"268","DCAN","1","DCAN001","8","DCAN001-8",24,0,"BFF","N"
"269","DCAN","1","DCAN001","9","DCAN001-9",62,0,"BFF","N"
"270","DCAN","1","DCAN001","10","DCAN001-10",27,0,"BFF","N"
"271","DCAN","2","DCAN002","1","DCAN002-1",42,111,"BFF","N"
"272","DCAN","2","DCAN002","2","DCAN002-2",71,106.5,"BFF","N"
"273","DCAN","2","DCAN002","3","DCAN002-3",70,8,"BFF","N"
"274","DCAN","2","DCAN002","4","DCAN002-4",48,35.5,"BFF","N"
"275","DCAN","2","DCAN002","5","DCAN002-5",28,0,"BFF","N"
"276","DCAN","2","DCAN002","6","DCAN002-6",39,0,"BFF","N"
"277","DCAN","2","DCAN002","7","DCAN002-7",23,0,"BFF","N"
"278","DCAN","2","DCAN002","8","DCAN002-8",24,0,"BFF","N"
"279","DCAN","2","DCAN002","9","DCAN002-9",62,0,"BFF","N"
"280","DCAN","2","DCAN002","10","DCAN002-10",27,51,"BFF","N"
"281","DCAN","3","DCAN003","1","DCAN003-1",42,35.5,"BFF","N"
"282","DCAN","3","DCAN003","2","DCAN003-2",71,0,"BFF","N"
"283","DCAN","3","DCAN003","3","DCAN003-3",70,0,"BFF","N"
"284","DCAN","3","DCAN003","4","DCAN003-4",48,0,"BFF","N"
"285","DCAN","3","DCAN003","5","DCAN003-5",9,0,"BFF","N"
"286","DCAN","3","DCAN003","6","DCAN003-6",38,0,"BFF","N"
"287","DCAN","3","DCAN003","7","DCAN003-7",23,0,"BFF","N"
"288","DCAN","3","DCAN003","8","DCAN003-8",24,0,"BFF","N"
"289","DCAN","3","DCAN003","9","DCAN003-9",62,0,"BFF","N"
"290","DCAN","3","DCAN003","10","DCAN003-10",27,0,"BFF","N"
"291","DCAN","4","DCAN004","1","DCAN004-1",42,11,"BFF","N"
"292","DCAN","4","DCAN004","2","DCAN004-2",71,34,"BFF","N"
"293","DCAN","4","DCAN004","3","DCAN004-3",70,8,"BFF","N"
"294","DCAN","4","DCAN004","4","DCAN004-4",48,22,"BFF","N"
"295","DCAN","4","DCAN004","5","DCAN004-5",12,34.5,"BFF","N"
"296","DCAN","4","DCAN004","6","DCAN004-6",38,11,"BFF","N"
"297","DCAN","4","DCAN004","7","DCAN004-7",23,0,"BFF","N"
"298","DCAN","4","DCAN004","8","DCAN004-8",24,0,"BFF","N"
"299","DCAN","4","DCAN004","9","DCAN004-9",62,16,"BFF","N"
"300","DCAN","4","DCAN004","10","DCAN004-10",27,22,"BFF","N"
"301","DCAN","5","DCAN005","1","DCAN005-1",42,79,"BFF","N"
"302","DCAN","5","DCAN005","2","DCAN005-2",71,216,"BFF","N"
"303","DCAN","5","DCAN005","3","DCAN005-3",70,15.5,"BFF","N"
"304","DCAN","5","DCAN005","4","DCAN005-4",48,89.5,"BFF","N"
"305","DCAN","5","DCAN005","5","DCAN005-5",25,201.5,"BFF","N"
"306","DCAN","5","DCAN005","6","DCAN005-6",30,0,"BFF","N"
"307","DCAN","5","DCAN005","7","DCAN005-7",23,0,"BFF","N"
"308","DCAN","5","DCAN005","8","DCAN005-8",24,0,"BFF","N"
"309","DCAN","5","DCAN005","9","DCAN005-9",62,0,"BFF","N"
"310","DCAN","5","DCAN005","10","DCAN005-10",27,50.5,"BFF","N"
"311","DCAN","6","DCAN006","1","DCAN006-1",42,86.5,"BFF","N"
"312","DCAN","6","DCAN006","2","DCAN006-2",71,225.5,"BFF","N"
"313","DCAN","6","DCAN006","3","DCAN006-3",70,51,"BFF","N"
"314","DCAN","6","DCAN006","4","DCAN006-4",48,137.5,"BFF","N"
"315","DCAN","6","DCAN006","5","DCAN006-5",29,154.5,"BFF","N"
"316","DCAN","6","DCAN006","6","DCAN006-6",38,3,"BFF","N"
"317","DCAN","6","DCAN006","7","DCAN006-7",23,0,"BFF","N"
"318","DCAN","6","DCAN006","8","DCAN006-8",24,0,"BFF","N"
"319","DCAN","6","DCAN006","9","DCAN006-9",62,0,"BFF","N"
"320","DCAN","6","DCAN006","10","DCAN006-10",27,137.5,"BFF","N"
"321","DCAN","7","DCAN007","1","DCAN007-1",41,242,"BFF","N"
"322","DCAN","7","DCAN007","2","DCAN007-2",71,233,"BFF","N"
"323","DCAN","7","DCAN007","3","DCAN007-3",70,35.5,"BFF","N"
"324","DCAN","7","DCAN007","4","DCAN007-4",48,245,"BFF","N"
"325","DCAN","7","DCAN007","5","DCAN007-5",29,264.5,"BFF","N"
"326","DCAN","7","DCAN007","6","DCAN007-6",39,0,"BFF","N"
"327","DCAN","7","DCAN007","7","DCAN007-7",23,3,"BFF","N"
"328","DCAN","7","DCAN007","8","DCAN007-8",24,0,"BFF","N"
"329","DCAN","7","DCAN007","9","DCAN007-9",62,0,"BFF","N"
"330","DCAN","7","DCAN007","10","DCAN007-10",27,471,"BFF","N"
"331","DCAN","8","DCAN008","1","DCAN008-1",41,39,"BFF","N"
"332","DCAN","8","DCAN008","2","DCAN008-2",71,11,"BFF","N"
"333","DCAN","8","DCAN008","3","DCAN008-3",70,6,"BFF","N"
"334","DCAN","8","DCAN008","4","DCAN008-4",48,0,"BFF","N"
"335","DCAN","8","DCAN008","5","DCAN008-5",29,26.5,"BFF","N"
"336","DCAN","8","DCAN008","6","DCAN008-6",39,0,"BFF","N"
"337","DCAN","8","DCAN008","7","DCAN008-7",23,0,"BFF","N"
"338","DCAN","8","DCAN008","8","DCAN008-8",24,0,"BFF","N"
"339","DCAN","8","DCAN008","9","DCAN008-9",62,6,"BFF","N"
"340","DCAN","8","DCAN008","10","DCAN008-10",27,107,"BFF","N"
"341","DCAN","9","DCAN009","1","DCAN009-1",41,51.5,"BFF","N"
"342","DCAN","9","DCAN009","2","DCAN009-2",71,20,"BFF","N"
"343","DCAN","9","DCAN009","3","DCAN009-3",70,8,"BFF","N"
"344","DCAN","9","DCAN009","4","DCAN009-4",48,82,"BFF","N"
"345","DCAN","9","DCAN009","5","DCAN009-5",29,122,"BFF","N"
"346","DCAN","9","DCAN009","6","DCAN009-6",39,0,"BFF","N"
"347","DCAN","9","DCAN009","7","DCAN009-7",23,0,"BFF","N"
"348","DCAN","9","DCAN009","8","DCAN009-8",24,0,"BFF","N"
"349","DCAN","9","DCAN009","9","DCAN009-9",62,0,"BFF","N"
"350","DCAN","9","DCAN009","10","DCAN009-10",27,147,"BFF","N"
"351","DCAN","10","DCAN010","1","DCAN010-1",41,0,"BFF","N"
"352","DCAN","10","DCAN010","2","DCAN010-2",71,0,"BFF","N"
"353","DCAN","10","DCAN010","3","DCAN010-3",70,0,"BFF","N"
"354","DCAN","10","DCAN010","4","DCAN010-4",48,0,"BFF","N"
"355","DCAN","10","DCAN010","5","DCAN010-5",29,0,"BFF","N"
"356","DCAN","10","DCAN010","6","DCAN010-6",39,0,"BFF","N"
"357","DCAN","10","DCAN010","7","DCAN010-7",23,0,"BFF","N"
"358","DCAN","10","DCAN010","8","DCAN010-8",24,0,"BFF","N"
"359","DCAN","10","DCAN010","9","DCAN010-9",62,0,"BFF","N"
"360","DCAN","10","DCAN010","10","DCAN010-10",27,0,"BFF","N"
"361","DCAN","11","DCAN011","1","DCAN011-1",41,0,"BFF","N"
"362","DCAN","11","DCAN011","2","DCAN011-2",71,0,"BFF","N"
"363","DCAN","11","DCAN011","3","DCAN011-3",70,0,"BFF","N"
"364","DCAN","11","DCAN011","4","DCAN011-4",48,0,"BFF","N"
